Cote;% calcimétrie 1 min ;% calcimétrie 3 min;% calcimétrie 15 min;% CaCO3;% Dolomie;% insolubles;
0,25;15;19;21;15;6;79;21
0,5;12;16;18;12;6;82;18
0,75;14;18;20;14;6;80;20
1;24;28;31;24;7;69;31
1,25;19;22;25;19;6;75;25
1,5;17;21;24;17;7;76;24
1,75;22;25;27;22;5;73;27
2;21;24;25;21;4;75;25
2,25;19;21;23;19;4;77;23
2,5;14;17;19;14;5;81;19
2,75;16;20;22;16;6;78;22
3;18;21;23;18;5;77;23
3,25;16;19;22;16;6;78;22
3,5;20;23;26;20;6;74;26
3,75;24;27;28;24;4;72;28
4;25;30;32;25;7;68;32
4,25;29;30;31;29;2;69;31
4,5;25;28;29;25;4;71;29
4,75;28;29;29;28;1;71;29
5;24;25;26;24;2;74;26
5,25;22;23;24;22;2;76;24
5,5;22;23;24;22;2;76;24
5,75;20;21;22;20;2;78;22
6;17;18;20;17;3;80;20
6,2;17;19;21;17;4;79;21
6,45;22;23;25;22;3;75;25
6,7;23;24;25;23;2;75;25
6,95;25;28;29;25;4;71;29
7,2;25;28;30;25;5;70;30
7,43;18;22;25;18;7;75;25
7,65;24;26;28;24;4;72;28
7,95;18;23;25;18;7;75;25
8,2;15;19;20;15;5;80;20
8,45;17;18;21;17;4;79;21
8,7;20;20;23;20;3;77;23
8,95;24;25;28;24;4;72;28
9,2;20;24;25;20;5;75;25
9,7;20;22;25;20;5;75;25
9,95;25;27;30;25;5;70;30
10,18;27;30;31;27;4;69;31
10,5;26;27;31;26;5;69;31
10,75;18;19;21;18;3;79;21
11;18;19;20;18;2;80;20
11,25;16;17;19;16;3;81;19
11,5;19;20;22;19;3;78;22
11,75;21;21;23;21;2;77;23
12;22;23;25;22;3;75;25
12,25;22;23;25;22;3;75;25
12,5;20;22;23;20;3;77;23
12,75;22;24;25;22;3;75;25
13;20;22;23;20;3;77;23
13,25;22;23;24;22;2;76;24
13,5;22;24;26;22;4;74;26
13,75;18;19;20;18;2;80;20
14;18;19;21;18;3;79;21
14,25;28;30;31;28;3;69;31
14,5;18;19;20;18;2;80;20
14,75;14;15;17;14;3;83;17
15;13;15;16;13;3;84;16
15,25;12;14;15;12;3;85;15
15,5;19;21;22;19;3;78;22
15,75;25;27;30;25;5;70;30
16;23;25;26;23;3;74;26
16,25;24;26;28;24;4;72;28
16,5;34;37;38;34;4;62;38
16,75;37;40;45;37;8;55;45
17;27;30;31;27;4;69;31
17,25;27;32;34;27;7;66;34
17,5;42;44;46;42;4;54;46
17,75;31;32;33;31;2;67;33
18;33;35;36;33;3;64;36
18,25;26;28;29;26;3;71;29
18,5;22;23;25;22;3;75;25
18,75;24;25;26;24;2;74;26
19;19;20;22;19;3;78;22
19,25;19;20;21;19;2;79;21
19,5;21;24;26;21;5;74;26
19,75;36;39;41;36;5;59;41
20;25;28;30;25;5;70;30
20,25;25;28;29;25;4;71;29
20,5;24;28;32;24;8;68;32
20,75;23;26;28;23;5;72;28
21;11;14;17;11;6;83;17
21,25;30;32;34;30;4;66;34
21,5;20;22;24;20;4;76;24
21,75;34;36;38;34;4;62;38
22;18;21;24;18;6;76;24
22,25;11;13;16;11;5;84;16
22,5;14;16;18;14;4;82;18
22,75;20;22;24;20;4;76;24
23;18;20;22;18;4;78;22
23,25;33;36;37;33;4;63;37
23,5;22;26;28;22;6;72;28
23,75;32;34;36;32;4;64;36
24;27;30;31;27;4;69;31
24,25;18;20;22;18;4;78;22
24,5;17;19;20;17;3;80;20
24,75;22;24;26;22;4;74;26
25;21;22;24;21;3;76;24
25,25;11;12;14;11;3;86;14
25,5;12;13;15;12;3;85;15
25,75;24;26;28;24;4;72;28
26;19;20;22;19;3;78;22
26,25;15;16;19;15;4;81;19
26,5;24;25;27;24;3;73;27
26,75;38;39;40;38;2;60;40
27;22;24;26;22;4;74;26
27,25;22;24;26;22;4;74;26
27,5;14;14;16;14;2;84;16
27,75;13;14;16;13;3;84;16
28;24;25;27;24;3;73;27
28,25;24;25;26;24;2;74;26
28,5;13;14;17;13;4;83;17
28,75;21;22;23;21;2;77;23
29;24;25;27;24;3;73;27
29,25;22;23;25;22;3;75;25
29,5;26;29;30;26;4;70;30
29,75;19;22;24;19;5;76;24
30;36;39;42;36;6;58;42
30,1;70;71;72;70;2;28;72
30,25;32;35;37;32;5;63;37
30,5;39;41;43;39;4;57;43
30,75;25;27;29;25;4;71;29
